日期,时间,前收,高,低,价格,开,成交量,成交额,成交笔数
2018/10/11,2018/10/11,0.00 ,2446.37 ,2369.03 ,2390.50 ,2412.22 ,3693148600.00 ,47144413700.00 ,0.00 
2018/10/12,2018/10/12,2390.50 ,2452.69 ,2390.99 ,2444.13 ,2398.18 ,2900053300.00 ,37470242200.00 ,0.00 
2018/10/15,2018/10/15,2444.13 ,2448.26 ,2407.55 ,2412.48 ,2443.73 ,2054321600.00 ,26673331700.00 ,0.00 
2018/10/16,2018/10/16,2412.48 ,2459.88 ,2407.00 ,2415.49 ,2414.32 ,1983219900.00 ,26111832800.00 ,0.00 
2018/10/17,2018/10/17,2415.49 ,2451.19 ,2384.14 ,2429.21 ,2446.48 ,2485413000.00 ,31533042200.00 ,0.00 
2018/10/18,2018/10/18,2429.21 ,2416.37 ,2367.71 ,2369.07 ,2416.37 ,2276504600.00 ,29580379000.00 ,0.00 
2018/10/19,2018/10/19,2369.07 ,2451.76 ,2344.98 ,2446.32 ,2353.84 ,3138254800.00 ,42185839600.00 ,0.00 
2018/10/22,2018/10/22,2446.32 ,,2463.49 ,2540.15 ,2463.49 ,4632806800.00 ,64393838200.00 ,0.00 
2018/10/23,2018/10/23,2540.15 ,2544.30 ,2451.67 ,2464.81 ,2539.65 ,3541862300.00 ,55621787800.00 ,0.00 
2018/10/24,2018/10/24,2464.81 ,2530.77 ,2459.21 ,2477.49 ,2459.32 ,3702758100.00 ,48850258900.00 ,0.00 
2018/10/25,2018/10/25,2477.49 ,2486.76 ,2415.49 ,2485.10 ,2419.11 ,,43012012700.00 ,0.00 
2018/10/26,2018/10/26,2485.10 ,2499.76 ,2445.83 ,2468.91 ,2487.00 ,2879333500.00 ,37746236200.00 ,0.00 
2018/10/29,2018/10/29,2468.91 ,2465.37 ,2377.99 ,2389.58 ,2461.92 ,2872827700.00 ,40215886700.00 ,0.00 
2018/10/30,2018/10/30,2389.58 ,2449.29 ,2378.82 ,2415.65 ,2380.47 ,3246478600.00 ,52081900300.00 ,0.00 
2018/10/31,2018/10/31,2415.65 ,2460.84 ,2413.34 ,2451.12 ,2424.16 ,3450076300.00 ,44512207200.00 ,0.00 
2018/11/1,2018/11/1,2451.12 ,2500.12 ,2455.73 ,2460.16 ,2474.27 ,3769439000.00 ,50794892600.00 ,0.00 
2018/11/2,2018/11/2,2460.16 ,2544.19 ,2489.07 ,2542.77 ,2522.39 ,4732880400.00 ,62090716300.00 ,0.00 
2018/11/5,2018/11/5,2542.77 ,2524.65 ,2489.59 ,2511.59 ,2520.88 ,2826235900.00 ,37305733700.00 ,0.00 
2018/11/6,2018/11/6,2511.59 ,2509.64 ,2478.38 ,2499.68 ,2507.36 ,2210240000.00 ,27830069300.00 ,0.00 
2018/11/7,2018/11/7,2499.68 ,2521.15 ,2479.25 ,2482.33 ,2503.68 ,2615856400.00 ,30891232900.00 ,0.00 
2018/11/8,2018/11/8,2482.33 ,2511.00 ,2480.33 ,2486.00 ,2507.59 ,2031124600.00 ,26155585300.00 ,0.00 
2018/11/9,2018/11/9,2486.00 ,2469.89 ,2434.08 ,2434.21 ,2469.89 ,2803674200.00 ,30360305000.00 ,0.00 
2018/11/12,2018/11/12,2434.21 ,2447.46 ,2419.97 ,2444.97 ,2426.83 ,2290729900.00 ,29682529000.00 ,0.00 
2018/11/13,2018/11/13,2444.97 ,2474.82 ,2413.78 ,2462.97 ,2415.30 ,2768189800.00 ,34914183900.00 ,0.00 
2018/11/14,2018/11/14,2462.97 ,2462.18 ,2425.97 ,2429.99 ,2462.18 ,2701656500.00 ,31710019000.00 ,0.00 
2018/11/15,2018/11/15,2429.99 ,2459.43 ,2427.07 ,2459.14 ,2430.19 ,2474501700.00 ,30254544200.00 ,0.00 
2018/11/16,2018/11/16,2459.14 ,2482.44 ,2443.12 ,2461.44 ,2458.48 ,3150058300.00 ,39145116400.00 ,0.00 
2018/11/19,2018/11/19,2461.44 ,2492.08 ,2461.80 ,2492.08 ,2466.43 ,2972015300.00 ,38040917100.00 ,0.00 
2018/11/20,2018/11/20,2492.08 ,2484.01 ,2441.85 ,2446.79 ,2475.23 ,2694532200.00 ,32913380900.00 ,0.00 
